hold_days,stop_loss_frac,entry_threshold,total_return_pct,sharpe,max_drawdown_pct,hit_rate_pct,entries,exits,avg_days_held,stop_loss_exit_count
4,0.2,,-49.121938277048294,-1.1766739396290302,-50.742649510793214,5.625166622234071,260,260,3.226923076923077,129
4,0.2,0.0,-18.855128878512094,-1.960404003203241,-24.05691766774551,2.6659557451346307,129,129,3.10077519379845,75
4,0.2,0.0005,-11.197707312025596,-2.5371635455543373,-17.13139134179103,1.999466808850973,92,92,3.0869565217391304,53
4,0.2,0.001,-0.30904063761520995,-2.663171372699822,-4.795681754405906,1.2529992002132764,51,51,3.3137254901960786,25
4,0.3,,-49.8809740193593,-1.1824263778073367,-51.497579335025456,5.731804852039456,257,257,3.291828793774319,118
4,0.3,0.0,-19.285230296900103,-1.9682861936822336,-24.46114601679007,2.7725939749400164,129,129,3.201550387596899,65
4,0.3,0.0005,-11.501721798827614,-2.5458357934254248,-17.415340854234742,2.079445481205012,92,92,3.1956521739130435,44
4,0.3,0.001,-0.5606188867072093,-2.6715316900702737,-4.8795211898646995,1.3063183151159692,51,51,3.4313725490196076,21
4,0.4,,-51.48780108252732,-1.1719355245563217,-53.05257767405431,5.998400426552919,256,256,3.38671875,104
4,0.4,0.0,-19.204777813690598,-1.9683644492189536,-24.35518014323672,2.852572647294055,129,129,3.302325581395349,61
4,0.4,0.0005,-11.301251124349099,-2.5350305259789883,-17.1979369345018,2.132764596107705,92,92,3.282608695652174,41
4,0.4,0.001,-0.5947796288057194,-2.6728912753880096,-4.912330066905024,1.3063183151159692,51,51,3.4705882352941178,21
5,,,-25.60316650018236,-0.7218833085689076,-42.636498681854064,9.037589976006398,225,225,5.0,0
5,,0.0,-14.921765639258522,-1.660585373999957,-21.17256688352428,4.558784324180219,120,120,5.0,0
5,,0.0005,-13.755604915490006,-2.238871246231792,-18.3866003071542,3.332444681418288,86,86,5.0,0
5,,0.001,-2.182137965853126,-2.134443013705361,-6.649263616694601,1.8928285790455877,50,50,5.0,0
5,0.1,,-42.748122149882086,-1.0296486691238407,-49.197799248282685,6.344974673420421,255,255,3.541176470588235,154
5,0.1,0.0,-22.23952159980702,-1.8766982566059225,-26.389731319351018,3.0658491069048255,128,128,3.421875,83
5,0.1,0.0005,-15.640739940931493,-2.3695802143697384,-19.955303076437062,2.2127432684617436,92,92,3.4239130434782608,61
5,0.1,0.001,-8.219140348459108,-2.41111343287702,-11.065867965580344,1.3063183151159692,50,50,3.7,31
5,0.2,,-44.7476163847102,-1.0166468823573198,-52.9857055239329,6.718208477739269,247,247,3.7530364372469633,130
5,0.2,0.0,-23.421133269474524,-1.9132464159394247,-27.258204621397482,3.1458277792588643,127,127,3.559055118110236,74
5,0.2,0.0005,-15.916151338263996,-2.3378660929006396,-21.30212175219659,2.2394028259130896,91,91,3.5384615384615383,54
5,0.2,0.001,-6.7089649867691055,-2.3120778476721746,-11.004334244697166,1.4129565449213544,50,50,3.86,26
5,0.3,,-45.1291652188557,-1.0199221663503024,-53.35031368196442,6.878165822447348,243,243,3.8641975308641974,123
5,0.3,0.0,-23.799092285401525,-1.91759764062409,-27.696057871813494,3.3057851239669422,127,127,3.716535433070866,71
5,0.3,0.0005,-16.165245315419497,-2.343611325234527,-21.56094420729344,2.372700613169821,91,91,3.7142857142857144,51
5,0.3,0.001,-7.040566732976117,-2.322043420695905,-11.261753320297984,1.466275659824047,50,50,4.0,25
5,0.4,,-47.268876921357226,-1.0015457554510572,-55.453976606842915,7.064782724606772,239,239,3.99581589958159,108
5,0.4,0.0,-22.943367937485014,-1.8657235380225698,-28.18930373860537,3.439082911223674,127,127,3.874015748031496,66
5,0.4,0.0005,-15.925666848252495,-2.329435850279575,-21.53594749688652,2.4526792855238604,91,91,3.8351648351648353,46
5,0.4,0.001,-7.074727475074615,-2.323181230911872,-11.294854513288719,1.466275659824047,50,50,4.04,23
