K,hold_days,dte_min,dte_max,filter,total_return_pct,sharpe,max_drawdown_pct,hit_rate_pct,entries,exits,avg_days_held
1,10,30,60,pred_pos,-10.98123237241575,-2.628202337344122,-14.6727631479977,7.784590775793123,78,78,10.0
1,25,20,40,pred_pos,-11.162450420228875,-1.8435800428665512,-16.24250811081777,13.942948547054119,52,52,25.0
1,25,25,45,pred_pos,-11.162450420228875,-1.8435800428665512,-16.24250811081777,13.942948547054119,52,52,25.0
1,25,30,45,pred_pos,-11.162450420228875,-1.8435800428665512,-16.24250811081777,13.942948547054119,52,52,25.0
1,25,30,60,pred_pos,-11.162450420228875,-1.8435800428665512,-16.24250811081777,13.942948547054119,52,52,25.0
3,10,20,40,pred_pos,-11.35123680507374,-2.3518652271403546,-15.993327412583335,7.997867235403892,93,93,10.0
3,10,25,45,pred_pos,-11.35123680507374,-2.3518652271403546,-15.993327412583335,7.997867235403892,93,93,10.0
3,10,30,45,pred_pos,-11.35123680507374,-2.3518652271403546,-15.993327412583335,7.997867235403892,93,93,10.0
3,10,30,60,pred_pos,-11.35123680507374,-2.3518652271403546,-15.993327412583335,7.997867235403892,93,93,10.0
4,10,20,40,pred_pos,-11.35123680507374,-2.3518652271403546,-15.993327412583335,7.997867235403892,93,93,10.0
4,10,25,45,pred_pos,-11.35123680507374,-2.3518652271403546,-15.993327412583335,7.997867235403892,93,93,10.0
4,10,30,45,pred_pos,-11.35123680507374,-2.3518652271403546,-15.993327412583335,7.997867235403892,93,93,10.0
4,10,30,60,pred_pos,-11.35123680507374,-2.3518652271403546,-15.993327412583335,7.997867235403892,93,93,10.0
2,25,20,40,pred_pos,-11.458793367101872,-1.7027664641200038,-16.52604133488003,14.396161023727005,62,62,25.0
2,25,25,45,pred_pos,-11.458793367101872,-1.7027664641200038,-16.52604133488003,14.396161023727005,62,62,25.0
2,25,30,45,pred_pos,-11.458793367101872,-1.7027664641200038,-16.52604133488003,14.396161023727005,62,62,25.0
2,25,30,60,pred_pos,-11.458793367101872,-1.7027664641200038,-16.52604133488003,14.396161023727005,62,62,25.0
3,25,20,40,pred_pos,-12.61902737541587,-1.690130756943822,-16.87404433742106,14.422820581178353,65,65,25.0
3,25,25,45,pred_pos,-12.61902737541587,-1.690130756943822,-16.87404433742106,14.422820581178353,65,65,25.0
3,25,30,45,pred_pos,-12.61902737541587,-1.690130756943822,-16.87404433742106,14.422820581178353,65,65,25.0
3,25,30,60,pred_pos,-12.61902737541587,-1.690130756943822,-16.87404433742106,14.422820581178353,65,65,25.0
4,25,20,40,pred_pos,-12.61902737541587,-1.690130756943822,-16.87404433742106,14.422820581178353,65,65,25.0
4,25,25,45,pred_pos,-12.61902737541587,-1.690130756943822,-16.87404433742106,14.422820581178353,65,65,25.0
4,25,30,45,pred_pos,-12.61902737541587,-1.690130756943822,-16.87404433742106,14.422820581178353,65,65,25.0
4,25,30,60,pred_pos,-12.61902737541587,-1.690130756943822,-16.87404433742106,14.422820581178353,65,65,25.0
1,15,20,40,pred_pos,-13.592201028992768,-2.3125627605598527,-16.69140603637591,11.063716342308718,70,70,15.0
1,15,25,45,pred_pos,-13.592201028992768,-2.3125627605598527,-16.69140603637591,11.063716342308718,70,70,15.0
1,15,30,45,pred_pos,-13.592201028992768,-2.3125627605598527,-16.69140603637591,11.063716342308718,70,70,15.0
1,15,30,60,pred_pos,-13.592201028992768,-2.3125627605598527,-16.69140603637591,11.063716342308718,70,70,15.0
2,15,20,40,pred_pos,-14.604310339228267,-2.097044390927114,-18.487658458272996,11.33031191682218,80,80,15.0
2,15,25,45,pred_pos,-14.604310339228267,-2.097044390927114,-18.487658458272996,11.33031191682218,80,80,15.0
2,15,30,45,pred_pos,-14.604310339228267,-2.097044390927114,-18.487658458272996,11.33031191682218,80,80,15.0
2,15,30,60,pred_pos,-14.604310339228267,-2.097044390927114,-18.487658458272996,11.33031191682218,80,80,15.0
3,15,20,40,pred_pos,-15.483501819843749,-2.081024457750446,-18.916365525199712,11.356971474273527,83,83,15.0
3,15,25,45,pred_pos,-15.483501819843749,-2.081024457750446,-18.916365525199712,11.356971474273527,83,83,15.0
3,15,30,45,pred_pos,-15.483501819843749,-2.081024457750446,-18.916365525199712,11.356971474273527,83,83,15.0
3,15,30,60,pred_pos,-15.483501819843749,-2.081024457750446,-18.916365525199712,11.356971474273527,83,83,15.0
4,15,20,40,pred_pos,-15.483501819843749,-2.081024457750446,-18.916365525199712,11.356971474273527,83,83,15.0
4,15,25,45,pred_pos,-15.483501819843749,-2.081024457750446,-18.916365525199712,11.356971474273527,83,83,15.0
4,15,30,45,pred_pos,-15.483501819843749,-2.081024457750446,-18.916365525199712,11.356971474273527,83,83,15.0
